表2 2019年2月7天的功率预测结果,,,,,
起报时间,预报时间,实际功率(MW),问题二LSTM方法预测功率(MW),问题三未降尺度LSTM+XGBoost方法预测功率(MW),问题四降尺度LSTM+XGBoost方法预测功率(MW)
2019/02/24/00:00,2019/02/25/15:00,144,148.74,254.01,155.26
2019/02/24/00:00,2019/02/25/15:15,116,115.85,214.91,118.8
2019/02/24/00:00,2019/02/25/15:30,88,88.88,154.37,88.1
2019/02/24/00:00,2019/02/25/15:45,60,63.2,121.77,62.94
2019/02/24/00:00,2019/02/25/16:00,48,37.21,84.04,42
2019/02/24/00:00,2019/02/25/16:15,40,30.05,69.35,29.02
2019/02/24/00:00,2019/02/25/16:30,28,29,59.92,28.9
2019/02/24/00:00,2019/02/25/16:45,20,20.82,40.36,25.15
2019/02/24/00:00,2019/02/25/17:00,16,13.78,22.72,12.28
2019/02/24/00:00,2019/02/25/17:15,12,11.16,19.85,9.78
2019/02/24/00:00,2019/02/25/17:30,12,8.87,16.23,8.8
2019/02/24/00:00,2019/02/25/17:45,8,10.2,12.31,9.99
2019/02/24/00:00,2019/02/25/18:00,0,7.19,3.58,8.94
2019/02/24/00:00,2019/02/25/18:15,0,-1.85,1.17,1.79
2019/02/24/00:00,2019/02/25/18:30,0,-2.99,0.68,0.35
2019/02/24/00:00,2019/02/25/18:45,0,-1.5,0.06,0.35
2019/02/24/00:00,2019/02/25/19:00,0,-0.14,0.06,0.35
2019/02/24/00:00,2019/02/25/19:15,0,0.43,0.14,0.45
2019/02/24/00:00,2019/02/25/19:30,0,0.42,0.09,0.41
2019/02/24/00:00,2019/02/25/19:45,0,0.21,0.09,0.22
2019/02/24/00:00,2019/02/25/20:00,0,0.01,0.09,0.22
2019/02/24/00:00,2019/02/25/20:15,0,-0.11,0.09,0.09
2019/02/24/00:00,2019/02/25/20:30,0,-0.18,0.09,0.04
2019/02/24/00:00,2019/02/25/20:45,0,-0.22,0.09,0.04
2019/02/24/00:00,2019/02/25/21:00,0,-0.23,0.09,0.02
2019/02/24/00:00,2019/02/25/21:15,0,-0.23,0.09,0.02
2019/02/24/00:00,2019/02/25/21:30,0,-0.22,0.06,0.02
2019/02/24/00:00,2019/02/25/21:45,0,-0.2,0.06,0.02
2019/02/24/00:00,2019/02/25/22:00,0,-0.16,0.06,0.02
2019/02/24/00:00,2019/02/25/22:15,0,-0.11,0.06,0.06
2019/02/24/00:00,2019/02/25/22:30,0,-0.06,0.06,0.21
2019/02/24/00:00,2019/02/25/22:45,0,0.01,0.06,0.27
2019/02/24/00:00,2019/02/25/23:00,0,0.08,0.09,0.14
2019/02/24/00:00,2019/02/25/23:15,0,0.15,0.09,0.14
2019/02/24/00:00,2019/02/25/23:30,0,0.23,0.09,0.09
2019/02/24/00:00,2019/02/25/23:45,0,0.31,0.09,0.09
2019/02/25/00:00,2019/02/26/00:00,0,0.4,0.09,0.09
2019/02/25/00:00,2019/02/26/00:15,0,0.49,0.09,0.09
2019/02/25/00:00,2019/02/26/00:30,0,0.58,0.09,0.06
2019/02/25/00:00,2019/02/26/00:45,0,0.67,0.06,0.06
2019/02/25/00:00,2019/02/26/01:00,0,0.78,0.06,0.12
2019/02/25/00:00,2019/02/26/01:15,0,0.89,0.06,0.12
2019/02/25/00:00,2019/02/26/01:30,0,1,0.06,0.12
2019/02/25/00:00,2019/02/26/01:45,0,1.12,0.06,0.14
2019/02/25/00:00,2019/02/26/02:00,0,1.26,0.06,0.14
2019/02/25/00:00,2019/02/26/02:15,0,1.4,0.06,0.09
2019/02/25/00:00,2019/02/26/02:30,0,1.55,0.09,0.09
2019/02/25/00:00,2019/02/26/02:45,0,1.71,0.09,0.09
2019/02/25/00:00,2019/02/26/03:00,0,1.89,0.09,0.04
2019/02/25/00:00,2019/02/26/03:15,0,2.07,0.09,0.04
2019/02/25/00:00,2019/02/26/03:30,0,2.27,0.09,0.04
2019/02/25/00:00,2019/02/26/03:45,0,2.48,0.09,0.04
2019/02/25/00:00,2019/02/26/04:00,0,2.69,0.07,0.05
2019/02/25/00:00,2019/02/26/04:15,0,2.92,1.05,0.08
